2,BDB50192071,0.000
5,BDB7501,0.000
26,BDB50200809,0.000
34,BDB50088605,0.000
45,BDB50145898,0.000
46,BDB50306874,0.000
50,BDB50314344,0.000
136,BDB8364,0.000
154,BDB50145927,0.000
169,BDB50263147,0.000
177,BDB50145919,0.000
227,BDB50241104,0.000
230,BDB50237848,0.000
260,BDB6866,0.000
279,BDB50312922,0.000
283,BDB50211436,0.000
334,BDB16018,0.000
341,BDB50293153,0.000
393,BDB50267681,0.000
402,BDB50245912,0.000
409,BDB50267759,0.000
432,BDB50312765,0.000
496,BDB50186373,0.000
542,BDB6619,0.000
628,BDB7111,0.000
665,BDB50305006,0.000
693,BDB50321580,0.000
696,BDB50229101,0.000
708,BDB50279338,0.000
731,BDB50229973,0.000
788,BDB50249356,0.000
854,BDB50303044,0.000
857,BDB50295616,0.000
923,BDB50246465,0.000
956,BDB50313051,0.000
970,BDB5768,0.000
1015,BDB5485,0.000
1038,BDB50306888,0.000
1059,BDB31085,0.000
1148,BDB14032,0.000
