9,BDB19385,-11.427
11,BDB50145797,-11.328
15,BDB50050400,-11.264
17,BDB50158569,-11.261
31,BDB50031865,-10.893
46,BDB18771,-10.706
67,BDB50031871,-10.554
70,BDB50015707,-10.519
71,BDB50288820,-10.517
75,BDB50049156,-10.484
76,BDB50141011,-10.476
86,BDB50066495,-10.401
90,BDB50141012,-10.358
121,BDB18246,-10.165
124,BDB50288821,-10.141
131,BDB50051923,-10.110
136,BDB50066490,-10.092
155,BDB50111607,-10.006
167,BDB31777,-9.979
181,BDB50026300,-9.901
193,BDB50316122,-9.850
231,BDB50067869,-9.725
242,BDB31776,-9.687
254,BDB50031864,-9.653
269,BDB20676,-9.615
360,BDB18497,-9.360
417,BDB50041929,-9.213
435,BDB50065297,-9.173
462,BDB50232529,-9.122
490,BDB18045,-9.056
647,BDB50054512,-8.634
688,BDB50058420,-8.551
769,BDB50128535,-8.321
847,BDB50058517,-8.118
956,BDB50029770,-7.840
979,BDB50041935,-7.747
1065,BDB50111585,-7.358
1156,BDB50111589,-6.774
1173,BDB50111592,-6.552
1239,BDB50029035,2.765
