4,BDB50145927,-1.982
41,BDB50145898,-1.347
87,BDB50229973,-1.183
89,BDB14032,-1.176
90,BDB6866,-1.171
104,BDB50306888,-1.150
110,BDB50267759,-1.143
111,BDB50293153,-1.142
121,BDB7501,-1.127
144,BDB50303044,-1.105
159,BDB50245912,-1.086
161,BDB50211436,-1.085
162,BDB16018,-1.085
201,BDB50279338,-1.053
206,BDB5485,-1.048
212,BDB50295616,-1.042
214,BDB50263147,-1.041
222,BDB50249356,-1.032
230,BDB50145919,-1.028
253,BDB50306874,-1.016
263,BDB50305006,-1.012
267,BDB5768,-1.007
318,BDB50237848,-0.973
340,BDB6619,-0.955
359,BDB50186373,-0.942
373,BDB50313051,-0.937
380,BDB50321580,-0.934
452,BDB50200809,-0.895
498,BDB50267681,-0.873
540,BDB50312765,-0.856
543,BDB50246465,-0.855
605,BDB50314344,-0.822
621,BDB50229101,-0.812
627,BDB50088605,-0.810
634,BDB7111,-0.808
749,BDB8364,-0.763
935,BDB50192071,-0.685
943,BDB50312922,-0.682
1030,BDB50241104,-0.635
1238,BDB31085,-0.227
