29,BDB50314344,-55.972
41,BDB50245912,-55.171
98,BDB50267681,-52.209
104,BDB50312765,-52.044
113,BDB50312922,-51.897
129,BDB31085,-51.237
178,BDB50263147,-50.239
195,BDB50211436,-49.851
209,BDB50192071,-49.571
215,BDB50305006,-49.483
220,BDB50241104,-49.409
255,BDB50237848,-48.911
281,BDB50321580,-48.446
292,BDB7501,-48.224
305,BDB50186373,-47.983
335,BDB50229101,-47.548
369,BDB50246465,-47.063
441,BDB50145927,-45.917
452,BDB6866,-45.790
466,BDB50267759,-45.574
470,BDB50303044,-45.477
498,BDB50200809,-45.270
520,BDB50279338,-45.011
567,BDB50088605,-44.391
573,BDB50145898,-44.325
642,BDB50145919,-43.542
673,BDB50249356,-43.226
675,BDB50293153,-43.213
679,BDB7111,-43.203
696,BDB50229973,-43.004
728,BDB50295616,-42.632
816,BDB5768,-41.502
828,BDB8364,-41.282
859,BDB6619,-40.720
897,BDB50313051,-40.062
1044,BDB50306874,-37.107
1169,BDB16018,-32.305
1174,BDB5485,-31.927
1176,BDB14032,-31.786
1183,BDB50306888,-31.268
