8,BDB50031871,-2.251
9,BDB18497,-2.228
10,BDB50031865,-2.072
14,BDB50041929,-1.895
22,BDB50041935,-1.773
25,BDB50232529,-1.728
28,BDB50058517,-1.707
30,BDB50026300,-1.680
35,BDB50141011,-1.668
39,BDB50066495,-1.653
40,BDB18045,-1.640
43,BDB50066490,-1.608
49,BDB50050400,-1.555
50,BDB50051923,-1.549
51,BDB18246,-1.539
63,BDB19385,-1.493
67,BDB50065297,-1.481
69,BDB50031864,-1.476
87,BDB50054512,-1.434
109,BDB50067869,-1.361
132,BDB50029770,-1.325
157,BDB50128535,-1.289
190,BDB50015707,-1.254
226,BDB50141012,-1.218
232,BDB50145797,-1.212
239,BDB50058420,-1.210
259,BDB50111585,-1.196
289,BDB50158569,-1.172
408,BDB50288821,-1.084
444,BDB50111592,-1.065
496,BDB50111589,-1.037
523,BDB31777,-1.025
563,BDB50288820,-1.001
625,BDB50049156,-0.965
632,BDB18771,-0.963
634,BDB31776,-0.963
638,BDB50316122,-0.962
757,BDB50111607,-0.903
918,BDB20676,-0.834
1240,BDB50029035,0.366
